iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
82,0.0,0.132182,0.046705,0.381209,0.086352,0.169917,0.315415,0.521852,0.41446,0.252344,-0.060328
83,0.0,0.132182,0.046705,0.381209,0.086352,0.169917,0.315415,0.521852,0.372954,0.252344,-0.060328
84,0.0,0.132182,0.046705,0.381209,0.086352,0.169917,0.315415,0.497899,0.372954,0.252344,-0.060328
85,0.0,0.132182,0.092245,0.381209,0.086352,0.169917,0.315415,0.497899,0.372954,0.252344,-0.060328
86,0.0,0.115349,0.092245,0.381209,0.086352,0.169917,0.315415,0.497899,0.372954,0.252344,-0.060328
87,0.156723,0.115349,0.092245,0.381209,0.086352,0.169917,0.315415,0.497899,0.372954,0.252344,-0.060328
88,0.134334,0.115349,0.092245,0.381209,0.086352,0.169917,0.315415,0.497899,0.372954,0.252344,-0.060328
89,0.134334,0.115349,0.092245,0.381209,0.086352,0.169917,0.315415,0.461969,0.372954,0.252344,-0.060328
90,0.134334,0.115349,0.092245,0.351098,0.086352,0.169917,0.315415,0.461969,0.372954,0.252344,-0.060328
91,0.134334,0.115349,0.092245,0.351098,0.086352,0.169917,0.315415,0.461969,0.352281,0.252344,-0.060328
92,0.134334,0.115349,0.202268,0.351098,0.086352,0.169917,0.315415,0.461969,0.352281,0.252344,-0.060328
93,0.134334,0.115349,0.216268,0.351098,0.086352,0.169917,0.315415,0.461969,0.352281,0.252344,-0.060328
94,0.134334,0.115349,0.216268,0.351098,0.086352,0.169917,0.276481,0.461969,0.352281,0.252344,-0.060328
95,0.134334,0.115349,0.216268,0.351098,0.086352,0.169917,0.276481,0.461969,0.352281,0.31355,-0.060328
96,0.134334,0.115349,0.216268,0.351098,0.086352,0.169917,0.276481,0.461969,0.352281,0.226879,-0.060328
97,0.134334,0.115349,0.216268,0.351098,0.104623,0.169917,0.276481,0.461969,0.352281,0.226879,-0.060328
98,0.134334,0.115349,0.216268,0.351098,0.104623,0.15308,0.276481,0.461969,0.352281,0.226879,-0.060328
99,0.134334,0.115349,0.216268,0.351098,0.104623,0.15308,0.276481,0.461969,0.352281,0.226879,0.02562
100,0.134334,0.115349,0.192238,0.351098,0.104623,0.15308,0.276481,0.461969,0.352281,0.226879,0.02562
101,0.106877,0.115349,0.192238,0.351098,0.104623,0.15308,0.276481,0.461969,0.352281,0.226879,0.02562
102,0.106877,0.115349,0.192238,0.351098,0.104623,0.15308,0.276481,0.44203,0.352281,0.226879,0.02562
103,0.106877,0.115349,0.192238,0.351098,0.104623,0.15308,0.276481,0.44203,0.32252,0.226879,0.02562
104,0.106877,0.115349,0.192238,0.319094,0.104623,0.15308,0.276481,0.44203,0.32252,0.226879,0.02562
