iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
158,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.603786,0.392505,0.463351
159,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.544655,0.348785,0.603786,0.421946,0.463351
160,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.546398,0.348785,0.603786,0.421946,0.463351
161,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.546398,0.348785,0.603786,0.403667,0.463351
162,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.546398,0.364786,0.603786,0.403667,0.463351
163,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.546398,0.364786,0.578629,0.403667,0.463351
164,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.564539,0.364786,0.578629,0.403667,0.463351
165,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.561579,0.364786,0.578629,0.403667,0.463351
166,0.112932,0.200353,0.277963,0.468707,0.323903,0.442597,0.561579,0.346226,0.578629,0.403667,0.463351
167,0.112932,0.200353,0.277963,0.468707,0.326461,0.442597,0.561579,0.346226,0.578629,0.403667,0.463351
168,0.112932,0.200353,0.277963,0.482986,0.326461,0.442597,0.561579,0.346226,0.578629,0.403667,0.463351
169,0.112203,0.200353,0.277963,0.482986,0.326461,0.442597,0.561579,0.346226,0.578629,0.403667,0.463351
170,0.112203,0.200353,0.277963,0.482986,0.326461,0.442597,0.576754,0.346226,0.578629,0.403667,0.463351
171,0.112203,0.200353,0.277963,0.482986,0.326461,0.442597,0.578371,0.346226,0.578629,0.403667,0.463351
172,0.112203,0.200353,0.256796,0.482986,0.326461,0.442597,0.578371,0.346226,0.578629,0.403667,0.463351
173,0.112203,0.200353,0.256796,0.482986,0.326461,0.429316,0.578371,0.346226,0.578629,0.403667,0.463351
174,0.112203,0.200353,0.256796,0.482986,0.326461,0.429316,0.578371,0.346226,0.578629,0.403667,0.465173
175,0.112203,0.200353,0.256796,0.523787,0.326461,0.429316,0.578371,0.346226,0.578629,0.403667,0.465173
176,0.112203,0.200353,0.256796,0.550334,0.326461,0.429316,0.578371,0.346226,0.578629,0.403667,0.465173
177,0.112203,0.200353,0.256796,0.526157,0.326461,0.429316,0.578371,0.346226,0.578629,0.403667,0.465173
178,0.112203,0.200353,0.256796,0.526157,0.326461,0.429316,0.578371,0.346226,0.566629,0.403667,0.465173
179,0.112203,0.200353,0.256796,0.526157,0.326461,0.429316,0.557683,0.346226,0.566629,0.403667,0.465173
180,0.112203,0.200353,0.256796,0.526157,0.326461,0.429316,0.557683,0.346226,0.566629,0.420919,0.465173
181,0.112203,0.200353,0.256796,0.513362,0.326461,0.429316,0.557683,0.346226,0.566629,0.420919,0.465173
182,0.112203,0.200353,0.256796,0.513362,0.326461,0.429316,0.557683,0.346226,0.566629,0.396849,0.465173
183,0.112203,0.200353,0.256796,0.513362,0.326461,0.429316,0.557683,0.346226,0.566629,0.396849,0.44069
184,0.112203,0.200353,0.256796,0.513362,0.331109,0.429316,0.557683,0.346226,0.566629,0.396849,0.44069
185,0.112203,0.190735,0.256796,0.513362,0.331109,0.429316,0.557683,0.346226,0.566629,0.396849,0.44069
186,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.557683,0.346226,0.566629,0.396849,0.44069
187,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.557683,0.346226,0.564108,0.396849,0.44069
188,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.557683,0.363298,0.564108,0.396849,0.44069
189,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.579456,0.363298,0.564108,0.396849,0.44069
190,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.598844,0.363298,0.564108,0.396849,0.44069
191,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.622268,0.363298,0.564108,0.396849,0.44069
192,0.112203,0.190735,0.256796,0.513362,0.331109,0.422426,0.600811,0.363298,0.564108,0.396849,0.44069
193,0.112203,0.190735,0.256796,0.522075,0.331109,0.422426,0.600811,0.363298,0.564108,0.396849,0.44069
194,0.112203,0.190735,0.256796,0.522075,0.331109,0.422426,0.587654,0.363298,0.564108,0.396849,0.44069
195,0.112203,0.190735,0.256796,0.522075,0.331109,0.422426,0.587654,0.36799,0.564108,0.396849,0.44069
196,0.112203,0.190735,0.256796,0.522075,0.331109,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
197,0.112203,0.190735,0.256796,0.540993,0.331109,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
198,0.112203,0.190735,0.256796,0.568003,0.331109,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
199,0.112203,0.190735,0.256796,0.582385,0.331109,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
200,0.112203,0.190735,0.256796,0.564673,0.331109,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
201,0.112203,0.190735,0.256796,0.564673,0.316038,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
202,0.12176,0.190735,0.256796,0.564673,0.316038,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
203,0.12176,0.190735,0.263138,0.564673,0.316038,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
204,0.12176,0.190735,0.263138,0.554694,0.316038,0.422426,0.587654,0.36799,0.55711,0.396849,0.44069
205,0.12176,0.190735,0.263138,0.554694,0.316038,0.442217,0.587654,0.36799,0.55711,0.396849,0.44069
206,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.36799,0.55711,0.396849,0.44069
207,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.36799,0.55711,0.396849,0.471375
208,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.36799,0.55711,0.396849,0.451303
209,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.36799,0.55711,0.408313,0.451303
210,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.36799,0.537214,0.408313,0.451303
211,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.587654,0.381676,0.537214,0.408313,0.451303
212,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.577833,0.381676,0.537214,0.408313,0.451303
213,0.12176,0.190735,0.263138,0.554694,0.316038,0.433297,0.577833,0.381676,0.537214,0.408291,0.451303
214,0.12176,0.174841,0.263138,0.554694,0.316038,0.433297,0.577833,0.381676,0.537214,0.408291,0.451303
215,0.12176,0.174841,0.263138,0.554694,0.316038,0.433297,0.577833,0.397667,0.537214,0.408291,0.451303
216,0.12176,0.174841,0.263138,0.541758,0.316038,0.433297,0.577833,0.397667,0.537214,0.408291,0.451303
217,0.12176,0.174841,0.254612,0.541758,0.316038,0.433297,0.577833,0.397667,0.537214,0.408291,0.451303
218,0.12176,0.174841,0.254612,0.541758,0.316038,0.433297,0.577833,0.377103,0.537214,0.408291,0.451303
219,0.12176,0.174841,0.254612,0.541758,0.316038,0.433297,0.577833,0.377103,0.537214,0.408291,0.444579
220,0.12176,0.174841,0.254612,0.541758,0.316038,0.433297,0.582083,0.377103,0.537214,0.408291,0.444579
221,0.12176,0.174841,0.254612,0.541758,0.316038,0.423471,0.582083,0.377103,0.537214,0.408291,0.444579
222,0.12176,0.174841,0.254612,0.541758,0.309705,0.423471,0.582083,0.377103,0.537214,0.408291,0.444579
223,0.12176,0.174841,0.254612,0.541758,0.309705,0.423471,0.59849,0.377103,0.537214,0.408291,0.444579
224,0.12176,0.174841,0.254612,0.541758,0.309705,0.423471,0.580887,0.377103,0.537214,0.408291,0.444579
225,0.12176,0.174841,0.254612,0.541758,0.309705,0.423471,0.580887,0.377103,0.537214,0.387876,0.444579
226,0.110691,0.174841,0.254612,0.541758,0.309705,0.423471,0.580887,0.377103,0.537214,0.387876,0.444579
227,0.110691,0.174841,0.254612,0.541758,0.309705,0.423471,0.580887,0.377103,0.520724,0.387876,0.444579
228,0.110691,0.174841,0.254612,0.549738,0.309705,0.423471,0.580887,0.377103,0.520724,0.387876,0.444579
229,0.110691,0.174841,0.254612,0.558898,0.309705,0.423471,0.580887,0.377103,0.520724,0.387876,0.444579
230,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.580887,0.377103,0.520724,0.387876,0.444579
231,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.580887,0.377103,0.520724,0.387876,0.453425
232,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.586632,0.377103,0.520724,0.387876,0.453425
233,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.596895,0.377103,0.520724,0.387876,0.453425
234,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.6028,0.377103,0.520724,0.387876,0.453425
235,0.110691,0.174841,0.254612,0.539356,0.309705,0.423471,0.588083,0.377103,0.520724,0.387876,0.453425
236,0.110691,0.174841,0.254612,0.539356,0.309705,0.408646,0.588083,0.377103,0.520724,0.387876,0.453425
237,0.110691,0.174841,0.254612,0.539356,0.309705,0.408646,0.588083,0.377103,0.520724,0.387876,0.463917
238,0.110691,0.174841,0.254612,0.539356,0.309705,0.408646,0.588083,0.377103,0.520724,0.387876,0.456077
239,0.110691,0.174841,0.320225,0.539356,0.309705,0.408646,0.588083,0.377103,0.520724,0.387876,0.456077
240,0.110691,0.174841,0.311135,0.539356,0.309705,0.408646,0.588083,0.377103,0.520724,0.387876,0.456077
